DAG,Datahub_Composer,OtherNotes
BQ_to_BQ_fcty_mdm_hsehld_bacct_dly_snpsht_load_app,,Critical
BQ_to_BQ_fcty_mdm_hsehld_bacct_hr_snpsht_load_app,,Critical
BQ_to_BQ_fcty_mdm_party_grp_assn_snpsht_load_app,,Critical
BQ_to_BQ_fcty_mdm_party_grp_snpsht_load_app,,Critical
BQ_to_BQ_fcty_mdm_party_role_alias_snpsht_load_app,,Critical
BQ_to_BQ_fcty_mdm_party_role_bacct_assn_snpsht_load_app,,Critical
BQ_to_BQ_fcty_mdm_party_role_snpsht_load_app,,Critical
BQ_to_BQ_fcty_mdm_party_snpsht_load_app,,Critical
GCS_to_BQ_fcty_mdm_acct_load_app,b2,Critical
GCS_to_BQ_fcty_mdm_addr_load_app,b2,Critical
GCS_to_BQ_fcty_mdm_audit_load_app,b2,Critical
GCS_to_BQ_fcty_mdm_party_grp_load_app,b2,Critical
GCS_to_BQ_fcty_mdm_party_grp_rel_load_app,b2,Critical
GCS_to_BQ_fcty_mdm_party_load_app,b2,Critical
GCS_to_BQ_fcty_mdm_party_rle_alt_id_load_app,b2,Critical
GCS_to_BQ_fcty_mdm_party_rle_etrnc_addr_load_app,b2,Critical
GCS_to_BQ_fcty_mdm_party_rle_load_app,b2,Critical
GCS_to_BQ_fcty_mdm_party_rle_phn_comm_load_app,b2,Critical
S3_to_GCS_mdm_ingestion_app,b2,Critical
GCS_to_BQ_fcty_crdb_client_account_load_app,b2,Critical
GCS_to_BQ_fcty_crdb_portal_administered_account_load_app,,Critical
GCS_to_BQ_fcty_crdb_portal_user_contact_addr_load_app,,Critical
GCS_to_BQ_fcty_custods_address_assignment_load_app,b1,Critical
GCS_to_BQ_fcty_custods_address_load_app,b1,Critical
GCS_to_BQ_fcty_custods_billing_account_load_app,b1,Critical
GCS_to_BQ_fcty_custods_billing_arrangement_load_app,b1,Critical
GCS_to_BQ_fcty_custods_billing_name_load_app,b1,Critical
GCS_to_BQ_fcty_custods_bill_medium_charstc_load_app,b1,Critical
GCS_to_BQ_fcty_custods_contact_indvdl_elec_cntct_load_app,b1,Critical
GCS_to_BQ_fcty_custods_customer_contact_preference_load_app,b1,Critical
GCS_to_BQ_fcty_custods_customer_individual_load_app,b1,Critical
GCS_to_BQ_fcty_custods_customer_load_app,b1,Critical
GCS_to_BQ_fcty_custods_customer_preference_load_app,b1,Critical
GCS_to_BQ_fcty_custods_customer_subscription_load_app,b1,Critical
GCS_to_BQ_fcty_custods_cust_contact_indvdl_asgnmt_load_app,b1,Critical
GCS_to_BQ_fcty_custods_pay_channel_load_app,b1,Critical
GCS_to_BQ_fcty_custods_service_instance_load_app,b1,Critical
GCS_to_BQ_fcty_custods_service_parameter_load_app,b1,Critical
GCS_to_BQ_fcty_dlake_rdb_commitment_products_ncmbe_load_app,,Critical
GCS_to_BQ_fcty_kb_address_data_load_app,,Critical
GCS_to_BQ_fcty_kb_address_name_link_load_app,,Critical
GCS_to_BQ_fcty_kb_billing_account_information_load_app,,Critical
GCS_to_BQ_fcty_kb_credit_history_load_app,,Critical
GCS_to_BQ_fcty_kb_customer_load_app,,Critical
GCS_to_BQ_fcty_kb_market_npa_nxx_lr_load_app,,Critical
GCS_to_BQ_fcty_kb_name_data_load_app,,Critical
GCS_to_BQ_fcty_kb_pp_rc_rate_load_app,,Critical
GCS_to_BQ_fcty_kb_service_feature_load_app,,Critical
GCS_to_BQ_fcty_kb_soc_load_app,,Critical
GCS_to_BQ_fcty_kb_subscriber_load_app,,Critical
GCS_to_BQ_fcty_kb_subscriber_rsource_load_app,,Critical
GCS_to_BQ_fcty_kb_service_agreement_load_app,,Critical
GCS_to_BQ_fcty_pods_price_plan_load_app,,Critical
GCS_to_BQ_fcty_pods_product_catalogue_item_load_app,,Critical
GCS_to_BQ_fcty_sems_catalogue_item_load_app,,Critical
GCS_to_BQ_fcty_sems_catalogue_item_price_load_app,,Critical
GCS_to_BQ_fcty_sems_prepaid_service_package_load_app,,Critical
GCS_to_BQ_fcty_sems_service_load_app,,Critical
BQ_to_BQ_fcty_ent_custprofl_prod_instnc_snpsht_load_app,b1,Critical
BQ_to_BQ_fcty_int_custprofl_billg_acct_alias_snpsht_load_app,b1,Critical
BQ_to_BQ_fcty_int_custprofl_billg_acct_snpsht_load_app,b1,Critical
BQ_to_BQ_fcty_int_custprofl_cust_snpsht_load_app,b1,Critical
BQ_to_BQ_fcty_int_custprofl_prc_plan_catlg_snpsht_load_app,b1,Critical
BQ_to_BQ_fcty_int_custprofl_prod_instnc_alias_snpsht_load_app,b1,Critical
BQ_to_BQ_fcty_int_custprofl_prod_instnc_snpsht_load_app,b1,Critical
BQ_to_BQ_fcty_int_custprofl_prod_instnc_snpsht_wln_wrk_load_app,b1,Critical
BQ_to_BQ_fcty_int_custprofl_prod_instnc_snpsht_wls_part1_wrk_load_app,b1,Critical
BQ_to_BQ_fcty_int_custprofl_prod_instnc_snpsht_wls_part2_wrk_load_app,b1,Critical
BQ_to_BQ_fcty_int_custprofl_prod_instnc_snpsht_wls_part3_wrk_load_app,b1,Critical
BQ_to_BQ_fcty_int_custprofl_prod_instnc_snpsht_wls_wrk_load_app,b1,Critical
GCS_to_BQ_fcty_idnty_bus_obj_access_profile_load_app,b1,Critical
GCS_to_BQ_fcty_idnty_cust_idnty_access_profl_load_app,b1,Critical
GCS_to_BQ_fcty_idnty_customer_identity_contact_addr_load_app,b1,Critical
GCS_to_BQ_fcty_idnty_customer_identity_load_app,b1,Critical
GCS_to_BQ_fcty_idnty_customer_identity_login_event_load_app,b1,Critical
GCS_to_BQ_fcty_idnty_customer_identity_status_load_app,b1,Critical
GCS_to_BQ_fcty_crdb_identity_profile_load_app,b1,Critical
GCS_to_BQ_fcty_crdb_identity_profile_request_load_app,b1,Critical
GCS_to_BQ_fcty_crdb_mytm_identity_profile_load_app,b1,Critical
GCS_to_BQ_fcty_crdb_mytm_portal_user_persona_load_app,b1,Critical
GCS_to_BQ_fcty_crdb_portal_user_persona_load_app,b1,Critical
GCS_to_BQ_fcty_crdb_portal_user_load_app,b1,Critical
GCS_to_BQ_fcty_crdb_reward_account_information_load_app,b1,Critical
GCS_to_BQ_fcty_crdb_reward_acct_txn_load_app,b1,Critical
GCS_to_BQ_fcty_crdb_subscription_equipment_load_app,b1,Critical
GCS_to_BQ_fcty_crdb_subscription_load_app,b1,Critical
BQ_to_BQ_fcty_int_idnty_load_app,b1,Critical
BQ_to_BQ_fcty_int_idnty_login_event_load_app,b1,Critical
BQ_to_BQ_fcty_int_idnty_prod_instnc_acc_int_load_app,b1,Critical
BQ_to_BQ_fcty_int_idnty_cust_acc_load_app,b1,Critical
BQ_to_BQ_fcty_int_idnty_cntct_addr_load_app,b1,Critical
BQ_to_BQ_fcty_int_idnty_bus_obj_acc_load_app,b1,Critical
BQ_to_BQ_fcty_int_idnty_bacct_acc_load_app,b1,Critical
BQ_to_BQ_fcty_int_idnty_alias_load_app,b1,Critical
BQ_to_BQ_fcty_ent_idnty_bus_obj_acc_load_app,b1,Critical
BQ_to_BQ_fcty_ent_idnty_billg_acct_load_app,b1,Critical
BQ_to_BQ_fcty_ess_consldt_cust_prospect_ord_load_app,b1,Supported
BQ_to_BQ_fcty_ent_wls_cust_ord_ess_consldt_cust_prospect_ord_load_app,b1,Supported
GCS_to_BQ_fcty_ess_cust_prospect_acct_load_app,b1,Supported
GCS_to_BQ_fcty_ess_cust_prospect_ord_load_app,b1,Supported
GCS_to_BQ_fcty_dlake_curr_portal_access_load_app,,Supported
GCS_to_BQ_fcty_dntl_load_app,b1,Supported
S3_to_GCS_acs_campgn_ingestion_app,b1,Supported
GCS_to_BQ_fcty_adobe_campaign_acs_load_app,b1,Supported
BQ_to_BQ_fcty_adobe_campaign_acs_load_app,b1,Supported
CloudSQL_to_BQ_fcty_cust_pref_agreed_by_party_load_app,,Supported
CloudSQL_to_BQ_fcty_cust_pref_audit_party_load_app,,Supported
CloudSQL_to_BQ_fcty_cust_pref_extrnl_indvdl_load_app,,Supported
CloudSQL_to_BQ_fcty_cust_pref_optout_reason_code_load_app ,,Supported
CloudSQL_to_BQ_fcty_cust_pref_privcy_party_load_app,,Supported
CloudSQL_to_BQ_fcty_cust_pref_privcy_profl_char_valu_load_app,,Supported
CloudSQL_to_BQ_fcty_cust_pref_privcy_profl_load_app,,Supported
CloudSQL_to_BQ_fcty_cust_pref_privcy_profl_type_char_load_app,,Supported
CloudSQL_to_BQ_fcty_cust_pref_privcy_profl_type_load_app,,Supported
CloudSQL_to_BQ_fcty_cust_pref_related_party_load_app,,Supported
CloudSQL_to_BQ_fcty_cust_pref_telus_indvdl_load_app,,Supported
BQ_to_BQ_ent_cust_pref_load_app,,Supported
BQ_to_GCS_cust_pref_datalake_load_app,b1,Supported
BQ_to_BQ_ent_cntct_evnt_inbnd_load_app,b1,Supported
BQ_to_BQ_ent_cntct_evnt_outbnd_load_app,b1,Supported
BQ_to_BQ_ent_cntct_evnt_receipt_load_app,b1,Supported
BQ_to_BQ_fcty_ent_cntct_evnt_trkg_dtl_load_app,b1,Supported
BQ_to_GCS_cntct_evnt_datalake_load_app,b1,Supported
GCS_to_BQ_wrk_cntct_evnt_outbnd_load_app,b1,Supported
